=== 内存监控开始 === 1755223091
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226588,5526,32133,6271,123,8171,12288,22.07,39.35
1755226588,5616,32197,6364,126,8313,12288,21.80,39.50
=== 内存监控开始 === 1755226708
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226708,166,5551,366,0,4045,12288,0.00,30.73
1755226709,406,11412,762,8,4211,12288,1.49,31.23
1755226709,707,18207,1129,10,7183,12288,8.28,31.70
1755226710,1090,20086,1513,10,7187,12288,7.20,32.30
1755226710,1666,21251,2127,10,7267,12288,5.42,33.19
1755226711,2079,22083,2607,10,7455,12288,2.13,33.84
1755226711,2485,22806,3071,10,7633,12288,1.97,34.48
1755226712,2884,24126,3502,10,7885,12288,3.60,35.11
1755226712,3221,29118,3841,12,8009,12288,21.33,35.63
1755226713,3529,29770,4227,88,8207,12288,17.27,36.26
1755226714,3827,30341,4531,88,8157,12288,19.17,36.71
1755226714,4157,30621,4862,88,8149,12288,24.24,37.22
1755226715,4496,31030,5200,88,8139,12288,24.48,37.75
1755226715,4756,31457,5461,88,8171,12288,22.66,38.16
1755226716,5004,31770,5709,88,8207,12288,29.12,38.56
1755226716,5263,32043,5968,88,8203,12288,27.06,38.98
1755226717,5636,32302,6341,88,8187,12288,26.35,39.56
1755226717,5884,32550,6589,88,8179,12288,31.10,39.96
1755226718,6065,32681,6770,88,8193,12288,29.06,40.26
1755226719,6387,32935,7092,88,8171,12288,30.55,40.73
1755226719,6672,33396,7377,88,8133,12288,24.38,41.18
1755226720,6820,33531,7525,88,8241,12288,28.37,41.41
1755226720,7099,33715,7804,88,8085,12288,25.12,41.85
1755226721,7451,34160,8159,91,8275,12288,24.55,42.41
1755226721,7613,34348,8326,95,8323,12288,22.28,42.68
1755226722,7671,34395,8403,114,8211,12288,22.78,42.80
1755226722,7876,34479,8607,114,8079,12288,27.66,43.09
1755226723,8148,34767,8879,114,8079,12288,27.88,43.56
1755226724,8408,34978,9140,114,8197,12288,22.20,43.93
1755226724,8603,35183,9343,123,8163,12288,23.18,44.24
=== 内存监控开始 === 1755226802
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226802,166,5551,370,0,4045,12288,0.00,30.82
1755226802,393,11368,749,8,4211,12288,2.41,31.30
1755226803,699,18068,1128,10,7183,12288,9.88,31.77
1755226804,1074,20070,1504,10,7187,12288,7.31,32.36
1755226804,1603,21147,2063,10,7249,12288,6.96,33.20
1755226805,2046,21934,2571,10,7439,12288,1.84,33.89
1755226805,2474,22702,3059,10,7625,12288,1.76,34.57
1755226806,2922,28520,3548,10,7845,12288,5.87,35.27
1755226806,3173,28805,3804,14,8203,12288,15.09,35.67
1755226807,3543,29755,4255,88,8171,12288,18.44,36.38
1755226808,3835,30153,4548,88,8149,12288,21.81,36.83
1755226808,4139,30569,4852,88,8247,12288,30.08,37.34
1755226809,4438,30827,5152,88,8127,12288,21.88,37.78
1755226809,4781,31379,5495,88,8271,12288,25.48,38.32
1755226810,5007,31660,5721,88,8231,12288,26.94,38.67
1755226810,5251,31837,5965,88,8181,12288,26.70,39.06
1755226811,5541,32178,6255,88,8203,12288,24.11,39.52
1755226811,5826,32362,6539,88,8179,12288,30.94,39.97
1755226812,5976,32458,6690,88,8165,12288,27.71,40.21
1755226813,6311,32880,7025,88,8117,12288,26.08,40.71
1755226813,6658,33133,7372,88,8083,12288,24.93,41.26
1755226814,6910,33277,7624,88,8099,12288,30.10,41.66
=== 内存监控开始 === 1755227271
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755227271,166,5551,366,0,8079,12288,1.78,36.89
1755227271,450,11512,809,8,8263,12288,2.24,37.46
=== 内存监控开始 === 1755227284
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755227284,166,5551,370,0,8079,12288,0.00,36.86
1755227284,356,11290,710,8,8225,12288,2.86,37.29
1755227285,643,17349,1072,10,11217,12288,7.93,37.73
1755227285,1034,19901,1463,10,11221,12288,8.20,38.34
=== 内存监控开始 === 1755227558
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755227558,166,5551,366,0,4045,12288,0.00,31.81
1755227559,368,11290,718,8,4195,12288,2.92,32.25
1755227559,646,17415,1069,10,7183,12288,7.59,32.68
1755227560,1041,19914,1464,10,7187,12288,8.28,33.31
1755227560,1395,20805,1822,10,7191,12288,7.02,33.88
1755227561,1812,21499,2302,10,7327,12288,1.98,34.54
1755227561,2194,22235,2740,10,7501,12288,1.88,35.14
1755227562,2631,23067,3241,10,7695,12288,1.82,35.83
=== 内存监控开始 === 1755229647
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755229647,166,5551,366,0,11353,12288,0.00,37.85
1755229647,431,11474,791,8,11527,12288,3.05,38.39
=== 内存监控开始 === 1755229971
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755229971,166,5551,370,0,7535,12288,2.90,33.58
1755229971,385,11341,740,8,7697,12288,2.85,34.05
1755229972,706,18134,1135,10,10673,12288,8.81,34.55
1755229972,1078,20071,1507,10,10677,12288,7.24,35.14
=== 内存监控开始 === 1755230031
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755230031,166,5551,368,0,4045,12288,0.00,30.05
1755230031,439,11484,800,8,4237,12288,1.70,30.60
