=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158078,2940,29744,3644,87,4035,12288,2.44,14.94
1755158079,2957,29808,3662,87,4035,12288,0.00,14.95
1755158080,2945,29750,3650,87,4035,12288,1.66,14.93
1755158082,2967,29814,3672,87,4075,12288,2.78,14.96
=== 内存监控开始 === 1755158173
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158174,490,15417,913,10,3149,12288,0.00,11.46
1755158175,862,19807,1286,10,3149,12288,2.44,12.05
1755158176,939,19897,1363,10,3153,12288,1.21,12.19
1755158177,1750,21782,2280,10,3415,12288,4.26,13.48
1755158178,2562,28287,3182,10,3783,12288,17.31,14.72
1755158179,2717,29147,3402,65,3933,12288,1.61,15.06
1755158180,2797,29275,3482,65,3933,12288,3.85,15.20
1755158181,2747,29355,3447,79,4001,12288,1.19,15.15
1755158182,2786,29547,3486,79,4107,12288,35.51,15.22
1755158183,2714,29422,3416,82,4013,12288,0.94,15.10
1755158184,2800,29614,3502,82,4065,12288,38.57,15.22
1755158185,2795,29542,3499,84,4023,12288,1.95,15.24
1755158186,2882,29734,3586,84,4111,12288,2.46,15.37
1755158187,2790,29542,3494,84,4023,12288,1.28,15.22
1755158188,2795,29752,3500,84,4023,12288,63.64,15.23
1755158189,2792,29642,3497,84,4023,12288,2.60,15.25
1755158190,2817,29834,3522,84,4023,12288,50.96,15.28
1755158191,2805,29718,3509,84,4023,12288,1.15,15.26
1755158192,2847,29846,3551,84,4023,12288,55.67,15.32
1755158193,2829,29730,3533,84,4023,12288,0.00,15.29
1755158194,2859,29858,3564,84,4023,12288,64.77,15.35
1755158196,2784,29730,3489,84,4023,12288,2.70,15.24
1755158197,2839,29730,3544,84,4023,12288,2.00,15.34
1755158198,2839,29730,3544,84,4023,12288,0.00,15.32
1755158199,2787,29733,3492,84,4023,12288,0.00,15.23
1755158200,2787,29733,3492,84,4023,12288,1.02,15.24
1755158201,2843,29733,3548,84,4023,12288,0.00,15.33
1755158202,2843,29733,3548,84,4023,12288,2.70,15.33
1755158203,2788,29733,3492,84,4023,12288,1.63,15.26
1755158204,2810,29733,3515,84,4023,12288,1.75,15.28
